ID,LEVEL
E01_1,5
E01_2,5
E01_3,5
E01_4,5
E04_1,5
E04_2,5
E04_3,5
E04_4,5
E07_1,5
E07_2,5
E07_3,5
E07_4,5
HL01_1,5
HL01_2,5
HL01_3,4
HL01_4,2
HL04_1,5
HL04_2,5
HL04_3,5
HL04_4,5
HL07_1,5
HL07_2,5
HL07_3,5
HL07_4,5
HL10_1,5
HL10_2,5
HL10_3,5
HL10_4,5
LI10_2,5
LI10_3,5
LI10_4,5
M03_1,6
M03_2,5
M03_3,5
M03_4,5
M06_1,5
M06_2,5
M06_3,7
M06_4,5
M09_1,5
M09_2,5
M09_3,5
M09_4,5
M12_1,5
M12_2,5
M12_3,5
M12_4,5
M15_1,7
M15_2,5
M15_3,9
M15_4,8
M18_1,5
M18_2,5
M18_3,5
M18_4,7
M21_1,8
M21_2,8
M21_3,9
M21_4,10
M24_1,5
M24_2,5
M24_3,6
M24_4,7
N03_1,5
N03_2,5
N03_3,5
N03_4,5
N06_1,5
N06_2,5
N06_3,5
N06_4,9
N09_1,8
N09_2,8
N09_3,8
N09_4,8
N12_1,5
N12_2,6
N12_3,6
N12_4,6
N15_1,5
N15_2,5
N15_3,5
N15_4,8
N18_1,5
N18_2,3
N18_3,5
N18_4,8
N21_1,8
N21_2,8
N21_3,8
N21_4,8
N24_1,5
N24_2,7
N24_3,8
N24_4,6
SE05_1,5
SE05_2,3
SE05_3,5
SE05_4,2
SE08_1,5
SE08_2,5
SE08_3,5
SE08_4,2
SE11_1,5
SE11_2,1
SE11_3,5
SE11_4,2
SE14_1,5
SE14_2,5
SE14_3,5
SE14_4,5
SE17_1,5
SE17_2,5
SE17_3,5
SE17_4,5
SE20_1,5
SE20_2,5
SE20_3,7
SE20_4,5
SE23_1,5
SE23_2,5
SE23_3,5
SE23_4,5
SW02_1,5
SW02_2,5
SW02_3,5
SW02_4,5
SW05_1,5
SW05_2,5
SW05_3,5
SW05_4,5
SW08_1,7
SW08_2,5
SW08_3,5
SW08_4,1
SW11_1,5
SW11_2,5
SW11_3,5
SW11_4,5
SW14_1,5
SW14_2,5
SW14_3,5
SW14_4,5
SW17_1,5
SW17_2,5
SW17_3,5
SW17_4,5
SW20_1,5
SW20_2,5
SW20_3,5
SW20_4,6
SW23_1,5
SW23_2,5
SW23_3,5
SW23_4,5
TT01_1,5
TT01_2,5
TT01_3,5
TT01_4,2
TT04_1,5
TT04_2,5
TT04_3,5
TT04_4,5
