ID,LEVEL
E01_1,2
E01_2,2
E01_3,2
E01_4,2
E04_1,2
E04_2,6
E04_3,6
E04_4,4
E07_1,7
E07_2,5
E07_3,4
E07_4,2
HL01_1,2
HL01_2,9
HL01_3,6
HL01_4,3
HL04_1,2
HL04_2,4
HL04_3,3
HL04_4,4
HL07_1,6
HL07_2,3
HL07_3,4
HL07_4,3
HL10_1,6
HL10_2,6
HL10_3,3
HL10_4,3
LI10_2,3
LI10_3,4
LI10_4,2
M03_1,6
M03_2,6
M03_3,6
M03_4,6
M06_1,6
M06_2,6
M06_3,6
M06_4,6
M09_1,10
M09_2,6
M09_3,10
M09_4,9
M12_1,6
M12_2,6
M12_3,7
M12_4,2
M15_1,6
M15_2,6
M15_3,6
M15_4,10
M18_1,5
M18_2,6
M18_3,6
M18_4,7
M21_1,6
M21_2,6
M21_3,10
M21_4,10
M24_1,2
M24_2,1
M24_3,4
M24_4,6
N03_1,7
N03_2,5
N03_3,3
N03_4,3
N06_1,6
N06_2,3
N06_3,3
N06_4,6
N09_1,8
N09_2,8
N09_3,8
N09_4,6
N12_1,6
N12_2,3
N12_3,3
N12_4,3
N15_1,4
N15_2,8
N15_3,4
N15_4,4
N18_1,9
N18_2,8
N18_3,8
N18_4,6
N21_1,8
N21_2,8
N21_3,8
N21_4,8
N24_1,7
N24_2,7
N24_3,8
N24_4,8
SE05_1,7
SE05_2,2
SE05_3,4
SE05_4,2
SE08_1,2
SE08_2,2
SE08_3,1
SE08_4,1
SE11_1,3
SE11_2,1
SE11_3,6
SE11_4,2
SE14_1,2
SE14_2,6
SE14_3,3
SE14_4,3
SE17_1,4
SE17_2,9
SE17_3,8
SE17_4,6
SE20_1,3
SE20_2,7
SE20_3,3
SE20_4,2
SE23_1,5
SE23_2,7
SE23_3,5
SE23_4,3
SW02_1,3
SW02_2,3
SW02_3,3
SW02_4,5
SW05_1,6
SW05_2,6
SW05_3,7
SW05_4,5
SW08_1,6
SW08_2,1
SW08_3,1
SW08_4,6
SW11_1,3
SW11_2,3
SW11_3,3
SW11_4,3
SW14_1,7
SW14_2,6
SW14_3,6
SW14_4,6
SW17_1,6
SW17_2,6
SW17_3,1
SW17_4,7
SW20_1,5
SW20_2,8
SW20_3,8
SW20_4,6
SW23_1,5
SW23_2,8
SW23_3,8
SW23_4,6
TT01_1,1
TT01_2,1
TT01_3,4
TT01_4,2
TT04_1,5
TT04_2,8
TT04_3,5
TT04_4,5
